State,wells_to_plug,cost_per_well,total_cost,cost_millions
Pennsylvania,19160,85291.0,1634175560.0,1634.17556
California,3173,182029.0,577578017.0,577.578017
Ohio,4262,125285.0,533964670.0,533.96467
Kentucky,12695,36508.0,463469060.0,463.46906
West Virginia,3594,117490.0,422259060.0,422.25906
Illinois,8480,47988.0,406938240.0,406.93824
New York,7029,50656.0,356061024.0,356.061024
Oklahoma,15971,21203.0,338633113.0,338.633113
Louisiana,4484,73551.0,329802684.0,329.802684
North Dakota,953,208376.0,198582328.0,198.582328
Texas,5854,33117.0,193866918.0,193.866918
Kansas,5477,10634.0,58242418.0,58.242418
Indiana,575,64341.0,36996075.0,36.996075
Michigan,472,63338.0,29895536.0,29.895536
Missouri,4893,5200.0,25443600.0,25.4436
Nebraska,479,41000.0,19639000.0,19.639
Montana,221,75678.0,16724838.0,16.724838
Wyoming,1323,11955.0,15816465.0,15.816465
Arkansas,349,33704.0,11762696.0,11.762696
Colorado,115,80711.0,9281765.0,9.281765
Nevada,63,66640.0,4198320.0,4.19832
Utah,72,37435.0,2695320.0,2.69532
Mississippi,30,80000.0,2400000.0,2.4
Alabama,49,46484.0,2277716.0,2.277716
Tennessee,481,3474.0,1670994.0,1.670994
Alaska,1,66640.0,66640.0,0.06664
